scheme_name,state,category,income_limit,education_level,benefits,documents_required,deadline
Building And Other Construction Scholarship,Karnataka,Education & Learning,,State,"Benefits This scholarship offers various opportunities to SC-category students across the world. Under this scheme, the selected students will receive variable financial support from the Odisha government. Under the BOC scholarship, no living costs of the students are covered. ï»¿",Aadhaar Card of student Caste Certificate of the Student Copy of passbook of Bank account with the account number and IFSC code of the bank branch Passport-size Photograph of a student College Id Card of the Student Annual Contribution Certificate of Parent/ guardian The Marksheet of the last exam passed,
Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana,Karnataka,"Education & Learning, Social welfare & Empowerment",,State,"The scheme provides monetary incentives to children of weavers based on their performance in 10th and 12th board examinations. For 10th Pass Students 60% and above marks: â‚¹4,100/- 70% and above marks: â‚¹8,100/- 80% and above marks: â‚¹12,100/- 90% and above marks: â‚¹16,100/- For 12th Pass Students 60% and above marks: â‚¹6,100/- 70% and above marks: â‚¹10,100/- 80% and above marks: â‚¹14,100/- 90% and above marks: â‚¹20,100/-",Attested Copy of Marksheet of 10th or 12th Board Examination Passport Size Photograph of the Applicant Verification From the Primary Weaver Cooperative Society About the Membership Status of the Parent Details of Any Previous Incentive Rewards Received (if Applicable),
Bunkar Parivar Sahayata Yojana,Karnataka,Social welfare & Empowerment,,State,"Financial assistance of â‚¹20,000/- is provided to the heir of the working weaver in case of death. The assistance is meant to address the immediate financial crisis faced by family members of weavers upon their untimely death.",Death Certificate of the Weaver Photocopy of Membership Register Confirming Society Membership Certificate of Being a Working Weaver in the Society (Photocopy of Wage Payment Register) Bank Passbook Photocopy of Valid Heir to Whom Assistance Amount is to be Provided Photocopy of Ration Card as Proof of Being a Family Member Society's Proposal Resolution Recommendation Certificate from Concerned Assistant/Deputy Director of Handloom,
Burial Ground-Provision of Burial Grounds and Pathway to Burial Grounds,Karnataka,Utility & Sanitation,,State,Access to Dignified Burial Services: Provision of land for burial grounds.,Proof of identity (Aadhar card or any other document as directed by the authority). Caste certificate (Adi Dravidar/Tribal). Address proof (residency in the concerned habitation) Any other documents (if required).,
Bus Passes for the Construction Workers,Karnataka,Social welfare & Empowerment,,State,Quantum of Assistance: 50% reimbursement of the travelling cost. ï»¿,For Registration as a Building/ Construction Worker: Photographs of the concerned worker. Attested copy of Proof of Age. Attested copy of Address Proof. Details of the establishment where the applicant is working. Proof regarding Submission of Registration fees. Any other document as required. For the Application of the Welfare Scheme: Applicant ID Proof. Any other document as required.,
Bus Traveling Facility For Visually Impaired/Bus Concession,Karnataka,Social welfare & Empowerment,,State,Delhi Transport Corporation provides the facility of free traveling in DTC Buses to persons with vision impairment. The applicant having 100% disability will get a 50% concession for their escort/attendant.,Identity card i.e. Aadhaar card etc. Card issued by SDM Residential proof Passport-size photograph Copy of the disability certificate,
Buti Foundation Award,Karnataka,"Skills & Employment, Education & Learning",,Central,"Award Amount: â‚¹50,000/- Award Recognition: Medal",Detailed Contribution Statement (2 pages). Impact Statement. List of Publications. List of TEN BEST Publications. Reprints of Five Important Publications (e-files only). ï»¿,
CBSE Merit Scholarship Scheme For Single Girl Child,Karnataka,"Education & Learning, Women and Child",,Central,The rate of the scholarship shall be Rupees Five Hundred (â‚¹500/-) per month. A Scholarship awarded under the scheme shall be paid for a maximum period of two years. Payment will be made through ECS/NEFT.,"Caste certificate Income certificate and admission proof Details of bank account and fees structure Passport size photos and scanned signature Studentâ€™s ID card Class 11th mark sheet for scholarship renewal Bank account linked aadhaar card, bank passbook, and canceled cheque. Finally, an affidavit on â‚¹50 stamp paper from the girl or her parents duly attested by the gazette officer SDM or first-class magistrate, not below the rank of tehsildar. They must mention that the girl child belongs to a specific family.",
CHIEF MINISTER  EMPLOYMENT GENERATION  PROGRAMME (CMEGP),Karnataka,"Business & Entrepreneurship, Skills & Employment, Social welfare & Empowerment",,State,ï»¿ Categories of beneficiaries under CMEGP Beneficiaryâ€™s Contribution (of project cost) Rate of subsidy (of project cost) Area (location of project/unit) ï»¿ Urban Rural General Category 10% 15% 25% Special Category (includes SC / ST /Women/ Ex- servicemen / differently abled/VJNT/OBC/Minority) 5% 25% 35% ï»¿,1)	Passport size photo 2)	Aadhar card 3)	Domicile certificate 4)	Educational cetifiacate 5)	Undertaking form 6)	Project profile 7)	Caste certificate(If applicable) 8)	Special categary certificate(If applicable) 9)	Pan card 10)	Populatuion certificate (Only for rural applicant) 11)	Clearance /approved certificate (bank)(If Working capital is zero for project cost more than 5 lac) ï»¿,
CIFE - Institutional Fellowship,Karnataka,Education & Learning,,Central,"ï»¿ ICAR offers Junior Research Fellowship (JRF) for post-graduate education leading to a Master's Degree Program at the rate of Rs. 5760/- per month for two years with a contingent grant of Rs. 6000/- per annum (for procurement of essential chemicals, equipment, books and travel allowances connected with the collection of research data). Continuance of Fellowship after the 1st year is dependent on maintaining the required OGPA as per guidelines. As per 41st Academic council approval, the students who secure and maintain the required O.G.P.A. even if he/she has not cleared the examination in a particular course will be entitled to fellowship. However, the student will remain on â€˜Scholastic probationâ€™ until he/she clears the examination for the course(s). The JRF will be given only to those candidates who join the M.F.Sc. Program in the University/Institute other than that from where he/she has obtained the Bachelor's Degree. Under no circumstances, a change of subject for JRF will be entertained. ICAR Senior Research Fellowship (SRF) for Ph.D. Degree is offered at the rate of Rs. 7000/- per month for the first two years and Rs. 5600/- in the third year with a contingent grant of Rs. 10,000/- per annum (for procurement of essential chemicals, equipment, books and travel allowances connected with the collection of research data). A maximum of Rs. 2500/- in the first year could be utilised for the purchase of books and Rs. 2500/- for the preparation of a thesis. The remaining contingent grant would exclusively be utilised for contingency connected with the conduct of research work. Institutional Fellowship for M.F.Sc. Programs is at present at the rate of Rs. 5040/- per month for two years and for Ph.D. programs at the rate of Rs. 7000/- for three years. The contingent grant given is Rs. 6000/- per year at Masters's level and Rs.10,000/- per year at Ph.D. level. A maximum of Rs. 2500/- in the first year could be utilised for the purchase of books and Rs. 2500/- for the preparation of a thesis. The remaining contingent grant would exclusively be utilised for contingency connected with the conduct of research work.",Candidates need to upload scanned images of the below documents with the Application. Photograph. Signature. thumb impression. ï»¿ No certificates are required to be uploaded along with the Application Form at the time of online submission.,
